Source,Target,Weight,abs_weight,Lag,relationship_type,source_index,target_index,influences_target,influenced_by_target,strength_category
Delivery,Humidity_lag1_x_Sales_causal,-9040569.79559193,9040569.79559193,1,lagged_1,3,28,False,False,very_strong
Delivery,Temperature_lag1_x_Sales_causal,7453102.507239898,7453102.507239898,1,lagged_1,3,31,False,False,very_strong
Rainfall,Humidity_lag1_x_Sales_causal,-5992354.67752708,5992354.67752708,1,lagged_1,4,28,False,False,very_strong
Rainfall,Temperature_lag1_x_Sales_causal,4938380.299949262,4938380.299949262,1,lagged_1,4,31,False,False,very_strong
Delivery,Sunshine_lag1_x_Sales_causal,-4450843.901238654,4450843.901238654,1,lagged_1,3,29,False,False,very_strong
Humidity,Humidity_lag1_x_Sales_causal,4094948.9406862906,4094948.9406862906,1,lagged_1,6,28,False,False,very_strong
Delivery,BDT_USD_lag1_x_Sales_causal,-3987396.457936255,3987396.457936255,1,lagged_1,3,30,False,False,very_strong
Humidity,Temperature_lag1_x_Sales_causal,-3374961.7239453187,3374961.7239453187,1,lagged_1,6,31,False,False,very_strong
Rainfall,Sunshine_lag1_x_Sales_causal,-2947614.998559856,2947614.998559856,1,lagged_1,4,29,False,False,very_strong
Sunshine,Humidity_lag1_x_Sales_causal,2672739.5623520096,2672739.5623520096,1,lagged_1,5,28,False,False,very_strong
Rainfall,BDT_USD_lag1_x_Sales_causal,-2640925.2017354965,2640925.2017354965,1,lagged_1,4,30,False,False,very_strong
Delivery,Production_lag1_x_Sales_causal,-2540738.988559768,2540738.988559768,1,lagged_1,3,32,False,False,very_strong
Delivery,Rainfall_lag1_x_Sales_causal,2237629.742453302,2237629.742453302,1,lagged_1,3,27,False,False,very_strong
Sunshine,Temperature_lag1_x_Sales_causal,-2204300.7744671707,2204300.7744671707,1,lagged_1,5,31,False,False,very_strong
Humidity,Sunshine_lag1_x_Sales_causal,2014364.0085795326,2014364.0085795326,1,lagged_1,6,29,False,False,very_strong
BDT_USD,Humidity_lag1_x_Sales_causal,-1983167.3061851887,1983167.3061851887,1,lagged_1,8,28,False,False,very_strong
Humidity,BDT_USD_lag1_x_Sales_causal,1804540.3761508167,1804540.3761508167,1,lagged_1,6,30,False,False,very_strong
Temperature,Humidity_lag1_x_Sales_causal,1779444.4381254646,1779444.4381254646,1,lagged_1,7,28,False,False,very_strong
Delivery,Factory_Issue_lag1_x_Sales_causal,1686713.237780245,1686713.237780245,1,lagged_1,3,33,False,False,very_strong
Rainfall,Production_lag1_x_Sales_causal,-1683508.0461274714,1683508.0461274714,1,lagged_1,4,32,False,False,very_strong
BDT_USD,Temperature_lag1_x_Sales_causal,1634850.6583207715,1634850.6583207715,1,lagged_1,8,31,False,False,very_strong
Delivery,Sales,1529861.810507815,1529861.810507815,1,lagged_1,3,0,True,False,very_strong
Rainfall,Rainfall_lag1_x_Sales_causal,1482586.186285295,1482586.186285295,1,lagged_1,4,27,False,False,very_strong
Temperature,Temperature_lag1_x_Sales_causal,-1465833.6539197292,1465833.6539197292,1,lagged_1,7,31,False,False,very_strong
Sunshine,Sunshine_lag1_x_Sales_causal,1317004.0314826507,1317004.0314826507,1,lagged_1,5,29,False,False,very_strong
Sunshine,BDT_USD_lag1_x_Sales_causal,1178408.0632288603,1178408.0632288603,1,lagged_1,5,30,False,False,very_strong
Humidity,Production_lag1_x_Sales_causal,1150396.3361299546,1150396.3361299546,1,lagged_1,6,32,False,False,very_strong
Rainfall,Factory_Issue_lag1_x_Sales_causal,1118058.1363277165,1118058.1363277165,1,lagged_1,4,33,False,False,very_strong
Rainfall,Sales,1013716.8694795235,1013716.8694795235,1,lagged_1,4,0,True,False,very_strong
Humidity,Rainfall_lag1_x_Sales_causal,-1013318.650533882,1013318.650533882,1,lagged_1,6,27,False,False,very_strong
BDT_USD,Sunshine_lag1_x_Sales_causal,-976309.3275911441,976309.3275911441,1,lagged_1,8,29,False,False,very_strong
Temperature,Sunshine_lag1_x_Sales_causal,875250.581988552,875250.581988552,1,lagged_1,7,29,False,False,very_strong
BDT_USD,BDT_USD_lag1_x_Sales_causal,-873548.8768272685,873548.8768272685,1,lagged_1,8,30,False,False,very_strong
Temperature,BDT_USD_lag1_x_Sales_causal,783166.3408956236,783166.3408956236,1,lagged_1,7,30,False,False,very_strong
Humidity,Factory_Issue_lag1_x_Sales_causal,-763753.150242391,763753.150242391,1,lagged_1,6,33,False,False,very_strong
Sunshine,Production_lag1_x_Sales_causal,751060.1594673203,751060.1594673203,1,lagged_1,5,32,False,False,very_strong
Humidity,Sales,-694000.2949290233,694000.2949290233,1,lagged_1,6,0,True,False,very_strong
Sunshine,Rainfall_lag1_x_Sales_causal,-661521.4749888626,661521.4749888626,1,lagged_1,5,27,False,False,very_strong
BDT_USD,Production_lag1_x_Sales_causal,-557256.6844364589,557256.6844364589,1,lagged_1,8,32,False,False,very_strong
Temperature,Production_lag1_x_Sales_causal,499955.9205211639,499955.9205211639,1,lagged_1,7,32,False,False,very_strong
Sunshine,Factory_Issue_lag1_x_Sales_causal,-498683.77229038894,498683.77229038894,1,lagged_1,5,33,False,False,very_strong
BDT_USD,Rainfall_lag1_x_Sales_causal,490845.4415806248,490845.4415806248,1,lagged_1,8,27,False,False,very_strong
Sunshine,Sales,-452695.9254159247,452695.9254159247,1,lagged_1,5,0,True,False,very_strong
Temperature,Rainfall_lag1_x_Sales_causal,-440450.51647200284,440450.51647200284,1,lagged_1,7,27,False,False,very_strong
BDT_USD,Factory_Issue_lag1_x_Sales_causal,370043.13201877865,370043.13201877865,1,lagged_1,8,33,False,False,very_strong
Delivery,Factory_Issue_to_Production_ratio_causal,360374.3394613072,360374.3394613072,1,lagged_1,3,22,False,False,very_strong
BDT_USD,Sales,335633.5431026416,335633.5431026416,1,lagged_1,8,0,True,False,very_strong
Temperature,Factory_Issue_lag1_x_Sales_causal,-331809.25009152986,331809.25009152986,1,lagged_1,7,33,False,False,very_strong
Temperature,Sales,-302238.8021910492,302238.8021910492,1,lagged_1,7,0,True,False,very_strong
Rainfall,Factory_Issue_to_Production_ratio_causal,238787.64492315412,238787.64492315412,1,lagged_1,4,22,False,False,very_strong
Production,Humidity_lag1_x_Sales_causal,227926.7351375714,227926.7351375714,1,lagged_1,1,28,False,False,very_strong
Production,Temperature_lag1_x_Sales_causal,-188392.24788761308,188392.24788761308,1,lagged_1,1,31,False,False,very_strong
Delivery,Delivery_lag1_x_Sales_causal,-188015.63309237675,188015.63309237675,1,lagged_1,3,26,False,False,very_strong
Humidity,Factory_Issue_to_Production_ratio_causal,-163172.12964842684,163172.12964842684,1,lagged_1,6,22,False,False,very_strong
Rainfall,Delivery_lag1_x_Sales_causal,-124883.95419901199,124883.95419901199,1,lagged_1,4,26,False,False,very_strong
Production,Sunshine_lag1_x_Sales_causal,111901.34037620522,111901.34037620522,1,lagged_1,1,29,False,False,very_strong
Sunshine,Factory_Issue_to_Production_ratio_causal,-106528.39717744455,106528.39717744455,1,lagged_1,5,22,False,False,very_strong
Production,BDT_USD_lag1_x_Sales_causal,100767.83548661844,100767.83548661844,1,lagged_1,1,30,False,False,very_strong
Humidity,Delivery_lag1_x_Sales_causal,85342.87550529369,85342.87550529369,1,lagged_1,6,26,False,False,very_strong
BDT_USD,Factory_Issue_to_Production_ratio_causal,79040.5299003015,79040.5299003015,1,lagged_1,8,22,False,False,very_strong
Temperature,Factory_Issue_to_Production_ratio_causal,-70904.87188016948,70904.87188016948,1,lagged_1,7,22,False,False,very_strong
Production,Production_lag1_x_Sales_causal,64898.15697248462,64898.15697248462,1,lagged_1,1,32,False,False,very_strong
Production,Rainfall_lag1_x_Sales_causal,-56608.33288869425,56608.33288869425,1,lagged_1,1,27,False,False,very_strong
Sunshine,Delivery_lag1_x_Sales_causal,55719.75096807616,55719.75096807616,1,lagged_1,5,26,False,False,very_strong
Delivery,Factory_Issue_to_Delivery_ratio_causal,-53373.55120870355,53373.55120870355,1,lagged_1,3,21,False,False,very_strong
Production,Factory_Issue_lag1_x_Sales_causal,-42056.963208244895,42056.963208244895,1,lagged_1,1,33,False,False,very_strong
BDT_USD,Delivery_lag1_x_Sales_causal,-41351.16898618737,41351.16898618737,1,lagged_1,8,26,False,False,very_strong
Production,Sales,-38593.4716748023,38593.4716748023,1,lagged_1,1,0,True,False,very_strong
Temperature,Delivery_lag1_x_Sales_causal,37102.613921868564,37102.613921868564,1,lagged_1,7,26,False,False,very_strong
Rainfall,Factory_Issue_to_Delivery_ratio_causal,-35373.383690133574,35373.383690133574,1,lagged_1,4,21,False,False,very_strong
Humidity,Factory_Issue_to_Delivery_ratio_causal,24173.327962970852,24173.327962970852,1,lagged_1,6,21,False,False,very_strong
Factory_Issue,Humidity_lag1_x_Sales_causal,16164.073781652169,16164.073781652169,1,lagged_1,2,28,False,False,very_strong
Sunshine,Factory_Issue_to_Delivery_ratio_causal,15782.064802476005,15782.064802476005,1,lagged_1,5,21,False,False,very_strong
Delivery,Delivery_to_Production_ratio_causal,-13345.133114982571,13345.133114982571,1,lagged_1,3,23,False,False,very_strong
Factory_Issue,Temperature_lag1_x_Sales_causal,-13069.842201461648,13069.842201461648,1,lagged_1,2,31,False,False,very_strong
BDT_USD,Factory_Issue_to_Delivery_ratio_causal,-11709.799599994074,11709.799599994074,1,lagged_1,8,21,False,False,very_strong
Temperature,Factory_Issue_to_Delivery_ratio_causal,10503.569034642238,10503.569034642238,1,lagged_1,7,21,False,False,very_strong
Production,Factory_Issue_to_Production_ratio_causal,-9104.55793480976,9104.55793480976,1,lagged_1,1,22,False,False,very_strong
Rainfall,Delivery_to_Production_ratio_causal,-8833.20481737898,8833.20481737898,1,lagged_1,4,23,False,False,very_strong
Factory_Issue,Sunshine_lag1_x_Sales_causal,8620.544563260279,8620.544563260279,1,lagged_1,2,29,False,False,very_strong
Factory_Issue,BDT_USD_lag1_x_Sales_causal,7230.726287258009,7230.726287258009,1,lagged_1,2,30,False,False,very_strong
Delivery,Temperature_to_Sunshine_ratio_causal,6988.725007584316,6988.725007584316,1,lagged_1,3,20,False,False,very_strong
Humidity,Delivery_to_Production_ratio_causal,6031.618582414987,6031.618582414987,1,lagged_1,6,23,False,False,very_strong
Delivery,Rainfall_to_Sunshine_ratio_causal,5092.604032902137,5092.604032902137,1,lagged_1,3,24,False,False,very_strong
Production,Delivery_lag1_x_Sales_causal,4761.38916815016,4761.38916815016,1,lagged_1,1,26,False,False,very_strong
Rainfall,Temperature_to_Sunshine_ratio_causal,4625.680601877213,4625.680601877213,1,lagged_1,4,20,False,False,very_strong
Sales_causal_weighted_sum,Humidity_lag1_x_Sales_causal,-4590.994304767271,4590.994304767271,1,lagged_1,17,28,False,False,very_strong
Delivery,dow,-4534.297235085919,4534.297235085919,1,lagged_1,3,37,False,False,very_strong
Factory_Issue,Production_lag1_x_Sales_causal,4017.1379962091964,4017.1379962091964,1,lagged_1,2,32,False,False,very_strong
Sunshine,Delivery_to_Production_ratio_causal,3937.3286858255306,3937.3286858255306,1,lagged_1,5,23,False,False,very_strong
Factory_Issue,Rainfall_lag1_x_Sales_causal,-3845.894214140317,3845.894214140317,1,lagged_1,2,27,False,False,very_strong
Sales_causal_weighted_sum,Temperature_lag1_x_Sales_causal,3785.016873209224,3785.016873209224,1,lagged_1,17,31,False,False,very_strong
Factory_Issue_x_Delivery_causal,Factory_Issue_lag1_x_Sales_causal,3434.9983274346905,3434.9983274346905,1,lagged_1,12,33,False,False,very_strong
Rainfall,Rainfall_to_Sunshine_ratio_causal,3373.91231247929,3373.91231247929,1,lagged_1,4,24,False,False,very_strong
Delivery,Sales_causal_weighted_sum,-3357.1040250667747,3357.1040250667747,1,lagged_1,3,17,False,False,very_strong
Humidity,Temperature_to_Sunshine_ratio_causal,-3164.7036782770083,3164.7036782770083,1,lagged_1,6,20,False,False,very_strong
Rainfall,dow,-2997.2130723077275,2997.2130723077275,1,lagged_1,4,37,False,False,very_strong
Factory_Issue,Factory_Issue_lag1_x_Sales_causal,-2944.381948532496,2944.381948532496,1,lagged_1,2,33,False,False,very_strong
Factory_Issue,Sales,-2942.8793658408063,2942.8793658408063,1,lagged_1,2,0,True,False,very_strong
BDT_USD,Delivery_to_Production_ratio_causal,-2923.9501125980896,2923.9501125980896,1,lagged_1,8,23,False,False,very_strong
Factory_Issue_x_Delivery_causal,Humidity_lag1_x_Sales_causal,-2853.4188278505235,2853.4188278505235,1,lagged_1,12,28,False,False,very_strong
Delivery_x_Production_causal,Humidity_lag1_x_Sales_causal,2825.13942168758,2825.13942168758,1,lagged_1,14,28,False,False,very_strong
Temperature,Delivery_to_Production_ratio_causal,2616.9217030097498,2616.9217030097498,1,lagged_1,7,23,False,False,very_strong
Factory_Issue_x_Delivery_causal,Sunshine_lag1_x_Sales_causal,-2535.3615871573743,2535.3615871573743,1,lagged_1,12,29,False,False,very_strong
Humidity,Rainfall_to_Sunshine_ratio_causal,-2305.1277881266537,2305.1277881266537,1,lagged_1,6,24,False,False,very_strong
Sales_causal_weighted_sum,Sunshine_lag1_x_Sales_causal,-2259.45610814629,2259.45610814629,1,lagged_1,17,29,False,False,very_strong
Rainfall,Sales_causal_weighted_sum,-2197.198063599505,2197.198063599505,1,lagged_1,4,17,False,False,very_strong
Delivery,doy,-2117.0655477362147,2117.0655477362147,1,lagged_1,3,42,False,False,very_strong
Delivery_x_Production_causal,Factory_Issue_lag1_x_Sales_causal,-2109.345902847006,2109.345902847006,1,lagged_1,14,33,False,False,very_strong
Delivery_x_Production_causal,Sunshine_lag1_x_Sales_causal,2081.799329381616,2081.799329381616,1,lagged_1,14,29,False,False,very_strong
Sunshine,Temperature_to_Sunshine_ratio_causal,-2066.05667935191,2066.05667935191,1,lagged_1,5,20,False,False,very_strong
Humidity,dow,2053.0702103415338,2053.0702103415338,1,lagged_1,6,37,False,False,very_strong
Sales_causal_weighted_sum,BDT_USD_lag1_x_Sales_causal,-2024.5726725382556,2024.5726725382556,1,lagged_1,17,30,False,False,very_strong
Delivery,Sales_causal_weighted_sum,-1969.0308260326512,1969.0308260326512,0,contemporaneous,3,17,False,False,very_strong
Factory_Issue_x_Delivery_causal,Temperature_lag1_x_Sales_causal,1796.1500421031092,1796.1500421031092,1,lagged_1,12,31,False,False,very_strong
Humidity,Sales_causal_weighted_sum,1702.8395382870224,1702.8395382870224,1,lagged_1,6,17,False,False,very_strong
Rainfall_x_BDT_USD_causal,BDT_USD_lag1_x_Sales_causal,-1576.15276363278,1576.15276363278,1,lagged_1,16,30,False,False,very_strong
Factory_Issue_x_Delivery_causal,Production_lag1_x_Sales_causal,-1566.94884717169,1566.94884717169,1,lagged_1,12,32,False,False,very_strong
BDT_USD,Temperature_to_Sunshine_ratio_causal,1533.0413134077278,1533.0413134077278,1,lagged_1,8,20,False,False,very_strong
Sunshine,Rainfall_to_Sunshine_ratio_causal,-1504.8436221116795,1504.8436221116795,1,lagged_1,5,24,False,False,very_strong
Rainfall,doy,-1406.7470724995635,1406.7470724995635,1,lagged_1,4,42,False,False,very_strong
Temperature,Temperature_to_Sunshine_ratio_causal,-1375.3604934482587,1375.3604934482587,1,lagged_1,7,20,False,False,very_strong
Production,Factory_Issue_to_Delivery_ratio_causal,1353.112950521763,1353.112950521763,1,lagged_1,1,21,False,False,very_strong
Sunshine,dow,1340.3649610756952,1340.3649610756952,1,lagged_1,5,37,False,False,very_strong
Rainfall,Sales_causal_weighted_sum,-1330.0441796829705,1330.0441796829705,0,contemporaneous,4,17,False,False,very_strong
Temperature_x_Humidity_causal,Sales,1318.6771627417793,1318.6771627417793,1,lagged_1,9,0,True,False,very_strong
Factory_Issue_x_Production_causal,Temperature_lag1_x_Sales_causal,-1301.3838163914154,1301.3838163914154,1,lagged_1,13,31,False,False,very_strong
Sales_causal_weighted_sum,Production_lag1_x_Sales_causal,-1290.1509380671932,1290.1509380671932,1,lagged_1,17,32,False,False,very_strong
Temperature_x_Humidity_causal,Humidity_lag1_x_Sales_causal,-1255.6470210777281,1255.6470210777281,1,lagged_1,9,28,False,False,very_strong
month,Sales,1189.0521838157595,1189.0521838157595,1,lagged_1,40,0,True,False,very_strong
Rainfall_x_BDT_USD_causal,Temperature_lag1_x_Sales_causal,-1180.5195843038416,1180.5195843038416,1,lagged_1,16,31,False,False,very_strong
Sunshine,Sales_causal_weighted_sum,1150.2555735394913,1150.2555735394913,1,lagged_1,5,17,False,False,very_strong
Sales_causal_weighted_sum,Rainfall_lag1_x_Sales_causal,1136.31151867254,1136.31151867254,1,lagged_1,17,27,False,False,very_strong
BDT_USD,Rainfall_to_Sunshine_ratio_causal,1116.8141440121587,1116.8141440121587,1,lagged_1,8,24,False,False,very_strong
Temperature,Sales_causal_weighted_sum,1044.8283595718312,1044.8283595718312,1,lagged_1,7,17,False,False,very_strong
Temperature,Rainfall_to_Sunshine_ratio_causal,-1001.2594500709274,1001.2594500709274,1,lagged_1,7,24,False,False,very_strong
BDT_USD,dow,-994.513870500257,994.513870500257,1,lagged_1,8,37,False,False,very_strong
Temperature_x_Sunshine_causal,Sunshine_lag1_x_Sales_causal,-977.5794028665806,977.5794028665806,1,lagged_1,11,29,False,False,very_strong
Humidity,doy,954.3623441923195,954.3623441923195,1,lagged_1,6,42,False,False,very_strong
Rainfall_to_BDT_USD_ratio_causal,Humidity_lag1_x_Sales_causal,950.6544063386447,950.6544063386447,1,lagged_1,25,28,False,False,very_strong
Delivery,iso_week,-892.3280161679421,892.3280161679421,1,lagged_1,3,43,False,False,very_strong
Temperature,dow,892.2242726917408,892.2242726917408,1,lagged_1,7,37,False,False,very_strong
