feature_name,original_value_mean,perturbed_value,value_change,value_change_pct,mean_prediction_change,mean_abs_prediction_change,mean_error_change,worsening_samples,improving_samples,worsening_ratio
Production,0.0530250808632483,-0.046974919136751704,-0.1,-188.58999964433818,-3.9748213493621734,3.9748213493621734,3.9748213493621734,1,0,1.0
Production,0.0530250808632483,-0.013641585803418378,-0.06666666666666668,-125.7266664295588,-3.9748213493621734,3.9748213493621734,3.9748213493621734,1,0,1.0
Production,0.0530250808632483,0.01969174752991496,-0.03333333333333334,-62.8633332147794,-18.82048903832424,18.82048903832424,18.82048903832424,1,0,1.0
Production,0.0530250808632483,0.0530250808632483,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Production,0.0530250808632483,0.08635841419658163,0.03333333333333333,62.863333214779395,-2.4444989350436117,2.4444989350436117,2.4444989350436117,1,0,1.0
Production,0.0530250808632483,0.11969174752991496,0.06666666666666665,125.72666642955875,-4.8948546245487705,4.8948546245487705,4.8948546245487705,1,0,1.0
Production,0.0530250808632483,0.15302508086324831,0.1,188.58999964433818,-4.8948546245487705,4.8948546245487705,4.8948546245487705,1,0,1.0
Factory_Issue,0.0531171942702757,-0.04688280572972431,-0.1,-188.26295549969757,0.0,0.0,0.0,0,0,0.0
Factory_Issue,0.0531171942702757,-0.013549472396390982,-0.06666666666666668,-125.5086369997984,0.0,0.0,0.0,0,0,0.0
Factory_Issue,0.0531171942702757,0.019783860936942357,-0.03333333333333334,-62.7543184998992,0.0,0.0,0.0,0,0,0.0
Factory_Issue,0.0531171942702757,0.0531171942702757,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Factory_Issue,0.0531171942702757,0.08645052760360902,0.033333333333333326,62.75431849989918,-1.5902567845932936,1.5902567845932936,1.5902567845932936,1,0,1.0
Factory_Issue,0.0531171942702757,0.11978386093694235,0.06666666666666665,125.50863699979836,-5.278559772014887,5.278559772014887,5.278559772014887,1,0,1.0
Factory_Issue,0.0531171942702757,0.1531171942702757,0.1,188.26295549969757,-5.278559772014887,5.278559772014887,5.278559772014887,1,0,1.0
Delivery,0.0285683426040935,-0.07143165739590651,-0.1,-350.0378059581006,-5.976095340075972,5.976095340075972,5.976095340075972,1,0,1.0
Delivery,0.0285683426040935,-0.03809832406257318,-0.06666666666666668,-233.35853730540043,-5.976095340075972,5.976095340075972,5.976095340075972,1,0,1.0
Delivery,0.0285683426040935,-0.004764990729239839,-0.03333333333333334,-116.67926865270022,-5.976095340075972,5.976095340075972,5.976095340075972,1,0,1.0
Delivery,0.0285683426040935,0.0285683426040935,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Delivery,0.0285683426040935,0.06190167593742683,0.033333333333333326,116.67926865270017,-2.868772576689935,2.868772576689935,2.868772576689935,1,0,1.0
Delivery,0.0285683426040935,0.09523500927076015,0.06666666666666665,233.35853730540035,-2.868772576689935,2.868772576689935,2.868772576689935,1,0,1.0
Delivery,0.0285683426040935,0.1285683426040935,0.1,350.0378059581006,-2.868772576689935,2.868772576689935,2.868772576689935,1,0,1.0
Rainfall,0.0,-0.1,-0.1,-100000000000.0,0.0,0.0,0.0,0,0,0.0
Rainfall,0.0,-0.06666666666666668,-0.06666666666666668,-66666666666.66667,0.0,0.0,0.0,0,0,0.0
Rainfall,0.0,-0.03333333333333334,-0.03333333333333334,-33333333333.333336,0.0,0.0,0.0,0,0,0.0
Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Rainfall,0.0,0.033333333333333326,0.033333333333333326,33333333333.333324,0.0,0.0,0.0,0,0,0.0
Rainfall,0.0,0.06666666666666665,0.06666666666666665,66666666666.66665,0.0,0.0,0.0,0,0,0.0
Rainfall,0.0,0.1,0.1,100000000000.0,0.0,0.0,0.0,0,0,0.0
Sunshine,0.3714285714285714,0.27142857142857135,-0.10000000000000003,-26.923076915828414,1.6837793763638729,1.6837793763638729,-1.6837793763638729,0,1,0.0
Sunshine,0.3714285714285714,0.3047619047619047,-0.06666666666666671,-17.948717943885615,0.0,0.0,0.0,0,0,0.0
Sunshine,0.3714285714285714,0.33809523809523806,-0.033333333333333326,-8.9743589719428,0.0,0.0,0.0,0,0,0.0
Sunshine,0.3714285714285714,0.3714285714285714,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sunshine,0.3714285714285714,0.4047619047619047,0.033333333333333326,8.9743589719428,0.0,0.0,0.0,0,0,0.0
Sunshine,0.3714285714285714,0.43809523809523804,0.06666666666666665,17.9487179438856,-2.4806329544849177,2.4806329544849177,2.4806329544849177,1,0,1.0
Sunshine,0.3714285714285714,0.4714285714285714,0.10000000000000003,26.923076915828414,-4.882143257696271,4.882143257696271,4.882143257696271,1,0,1.0
Humidity,0.5238095238095237,0.42380952380952375,-0.09999999999999998,-19.090909087264464,4.768832281644791,4.768832281644791,-4.768832281644791,0,1,0.0
Humidity,0.5238095238095237,0.4571428571428571,-0.06666666666666665,-12.727272724842976,4.768832281644791,4.768832281644791,-4.768832281644791,0,1,0.0
Humidity,0.5238095238095237,0.4904761904761904,-0.033333333333333326,-6.363636362421488,4.03942874416407,4.03942874416407,-4.03942874416407,0,1,0.0
Humidity,0.5238095238095237,0.5238095238095237,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Humidity,0.5238095238095237,0.557142857142857,0.033333333333333326,6.363636362421488,-0.08453996223261129,0.08453996223261129,0.08453996223261129,1,0,1.0
Humidity,0.5238095238095237,0.5904761904761904,0.06666666666666665,12.727272724842976,-2.214402201563189,2.214402201563189,2.214402201563189,1,0,1.0
Humidity,0.5238095238095237,0.6238095238095237,0.09999999999999998,19.090909087264464,-2.214402201563189,2.214402201563189,2.214402201563189,1,0,1.0
Temperature,0.9082125603864734,0.8082125603864734,-0.09999999999999998,-11.010638296659996,8.967039713440727,8.967039713440727,-8.967039713440727,0,1,0.0
Temperature,0.9082125603864734,0.8415458937198067,-0.06666666666666665,-7.340425531106664,1.216183885099099,1.216183885099099,-1.216183885099099,0,1,0.0
Temperature,0.9082125603864734,0.87487922705314,-0.033333333333333326,-3.670212765553332,0.0,0.0,0.0,0,0,0.0
Temperature,0.9082125603864734,0.9082125603864734,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Temperature,0.9082125603864734,0.9415458937198067,0.033333333333333326,3.670212765553332,-2.4861517193617146,2.4861517193617146,2.4861517193617146,1,0,1.0
Temperature,0.9082125603864734,0.97487922705314,0.06666666666666665,7.340425531106664,-2.4861517193617146,2.4861517193617146,2.4861517193617146,1,0,1.0
Temperature,0.9082125603864734,1.0082125603864733,0.09999999999999998,11.010638296659996,-2.653675802027692,2.653675802027692,2.653675802027692,1,0,1.0
BDT_USD,0.823439344157709,0.723439344157709,-0.09999999999999998,-12.144185324317382,0.0,0.0,0.0,0,0,0.0
BDT_USD,0.823439344157709,0.7567726774910424,-0.06666666666666665,-8.09612354954492,0.0,0.0,0.0,0,0,0.0
BDT_USD,0.823439344157709,0.7901060108243757,-0.033333333333333326,-4.04806177477246,0.0,0.0,0.0,0,0,0.0
