feature,shap_importance,incoming_edges,outgoing_edges,total_edges,causes,effects
Sales_momentum_14,-101.31196343561155,17,11,28,"['Sales_lag_2', 'Sales_lag_7', 'Sales_lag_14', 'Sales_lag_21', 'Sales_lag_28', 'Production_rolling_std_14', 'Sales_pct_change_1', 'Sales_pct_change_7', 'Sales_momentum_7', 'Sales_trend_7_14', 'day_of_week_sin', 'day_of_week_cos', 'production_sales_ratio', 'delivery_sales_ratio', 'inventory_proxy', 'holiday_type_National Holiday', 'scope_or_location_Nationwide']","['Production_rolling_std_14', 'Sales_pct_change_1', 'Sales_pct_change_7', 'Sales_momentum_7', 'Sales_trend_7_14', 'production_sales_ratio', 'delivery_sales_ratio', 'inventory_proxy', 'holiday_type_National Holiday', 'scope_or_location_Nationwide', 'Sales']"
Sales_momentum_7,-99.29367473027916,13,7,20,"['Sales_lag_2', 'Sales_lag_7', 'Sales_lag_14', 'Sales_lag_21', 'Sales_lag_28', 'Sales_pct_change_1', 'Sales_pct_change_7', 'Sales_momentum_14', 'day_of_week_sin', 'day_of_week_cos', 'production_sales_ratio', 'delivery_sales_ratio', 'inventory_proxy']","['Sales_pct_change_1', 'Sales_pct_change_7', 'Sales_momentum_14', 'production_sales_ratio', 'delivery_sales_ratio', 'inventory_proxy', 'Sales']"
Sales_pct_change_1,75.1440399544856,17,12,29,"['Sales_lag_7', 'Sales_lag_14', 'Sales_lag_21', 'Sales_lag_28', 'Sales_rolling_min_7', 'Sales_pct_change_7', 'Sales_momentum_7', 'Sales_momentum_14', 'holiday_type_nan', 'holiday_name_Buddha Purnima', 'holiday_name_Eid al-Fitr', 'holiday_name_Eid-ul-Azha', 'holiday_name_nan', 'category_national_holiday', 'scope_or_location_Nationwide', 'scope_or_location_Nationwide (strongest in Buddhist communities)', 'Sales']","['Sales_rolling_min_7', 'Sales_pct_change_7', 'Sales_momentum_7', 'Sales_momentum_14', 'holiday_type_nan', 'holiday_name_Buddha Purnima', 'holiday_name_Eid al-Fitr', 'holiday_name_Eid-ul-Azha', 'holiday_name_nan', 'category_national_holiday', 'scope_or_location_Nationwide', 'scope_or_location_Nationwide (strongest in Buddhist communities)']"
Sales_rolling_mean_7,-71.30467717047375,39,10,49,"['Production', 'Factory_Issue', 'Delivery', 'Temperature', 'BDT_USD', 'Sales_lag_2', 'Sales_lag_3', 'Sales_rolling_std_7', 'Sales_rolling_max_7', 'Sales_rolling_std_14', 'Sales_rolling_max_14', 'Sales_rolling_std_30', 'Sales_rolling_max_30', 'Production_lag_1', 'Production_rolling_mean_7', 'Production_rolling_std_7', 'Production_rolling_min_7', 'Production_rolling_max_7', 'Production_rolling_mean_14', 'Production_rolling_min_14', 'Factory_Issue_lag_1', 'Factory_Issue_rolling_mean_7', 'Factory_Issue_rolling_std_7', 'Factory_Issue_rolling_min_7', 'Factory_Issue_rolling_max_7', 'Factory_Issue_rolling_mean_14', 'Factory_Issue_rolling_min_14', 'Delivery_lag_1', 'Delivery_rolling_mean_7', 'Delivery_rolling_std_7', 'Delivery_rolling_min_7', 'Delivery_rolling_min_14', 'Sales_trend_7_14', 'week_of_year_cos', 'month_sin', 'month_cos', 'quarter_sin', 'day_of_year_cos', 'inventory_proxy']","['Sales_rolling_mean_14', 'Sales_rolling_mean_30', 'Sales_rolling_std_30', 'Production_rolling_std_7', 'Factory_Issue_rolling_std_7', 'Delivery_rolling_std_7', 'Delivery_rolling_max_7', 'Delivery_rolling_mean_14', 'Delivery_rolling_max_14', 'inventory_proxy']"
delivery_sales_ratio,59.74008355411267,14,7,21,"['Sales_lag_7', 'Sales_lag_14', 'Sales_lag_21', 'Sales_lag_28', 'Sales_rolling_std_30', 'Production_lag_1', 'Factory_Issue_lag_1', 'Sales_pct_change_7', 'Sales_momentum_7', 'Sales_momentum_14', 'day_of_week_cos', 'production_sales_ratio', 'category_cultural_event', 'Sales']","['Sales_rolling_std_30', 'Sales_pct_change_7', 'Sales_momentum_7', 'Sales_momentum_14', 'day_of_week_sin', 'production_sales_ratio', 'category_cultural_event']"
Sales_rolling_mean_14,-52.15307004017982,48,6,54,"['Production', 'Factory_Issue', 'Delivery', 'Temperature', 'BDT_USD', 'Sales_rolling_mean_7', 'Sales_rolling_std_7', 'Sales_rolling_max_7', 'Sales_rolling_std_14', 'Sales_rolling_max_14', 'Sales_rolling_std_30', 'Sales_rolling_max_30', 'Production_lag_1', 'Production_lag_7', 'Production_rolling_mean_7', 'Production_rolling_std_7', 'Production_rolling_min_7', 'Production_rolling_max_7', 'Production_rolling_mean_14', 'Production_rolling_min_14', 'Production_rolling_max_14', 'Factory_Issue_lag_1', 'Factory_Issue_lag_7', 'Factory_Issue_rolling_mean_7', 'Factory_Issue_rolling_std_7', 'Factory_Issue_rolling_min_7', 'Factory_Issue_rolling_max_7', 'Factory_Issue_rolling_mean_14', 'Factory_Issue_rolling_min_14', 'Factory_Issue_rolling_max_14', 'Delivery_lag_1', 'Delivery_lag_7', 'Delivery_rolling_mean_7', 'Delivery_rolling_std_7', 'Delivery_rolling_min_7', 'Delivery_rolling_max_7', 'Delivery_rolling_mean_14', 'Delivery_rolling_std_14', 'Delivery_rolling_min_14', 'day_of_month_cos', 'week_of_year_sin', 'week_of_year_cos', 'month_sin', 'month_cos', 'quarter_sin', 'quarter_cos', 'day_of_year_sin', 'day_of_year_cos']","['Sales_rolling_mean_30', 'Sales_rolling_std_30', 'Factory_Issue_rolling_std_7', 'Delivery_rolling_std_7', 'Delivery_rolling_std_14', 'Delivery_rolling_max_14']"
Delivery_rolling_max_7,-42.03140388276797,41,12,53,"['Production', 'Factory_Issue', 'Delivery', 'Temperature', 'BDT_USD', 'Sales_lag_7', 'Sales_rolling_mean_7', 'Sales_rolling_std_7', 'Sales_rolling_max_7', 'Sales_rolling_std_14', 'Sales_rolling_max_14', 'Sales_rolling_max_30', 'Production_lag_1', 'Production_lag_14', 'Production_rolling_mean_7', 'Production_rolling_std_7', 'Production_rolling_min_7', 'Production_rolling_max_7', 'Production_rolling_mean_14', 'Production_rolling_min_14', 'Production_rolling_max_14', 'Factory_Issue_lag_1', 'Factory_Issue_lag_14', 'Factory_Issue_rolling_mean_7', 'Factory_Issue_rolling_std_7', 'Factory_Issue_rolling_min_7', 'Factory_Issue_rolling_max_7', 'Factory_Issue_rolling_mean_14', 'Factory_Issue_rolling_min_14', 'Delivery_lag_1', 'Delivery_rolling_mean_7', 'Delivery_rolling_min_7', 'Delivery_rolling_std_14', 'Delivery_rolling_min_14', 'week_of_year_sin', 'week_of_year_cos', 'month_sin', 'month_cos', 'quarter_sin', 'day_of_year_sin', 'day_of_year_cos']","['Sales_rolling_mean_14', 'Sales_rolling_mean_30', 'Sales_rolling_std_30', 'Production_lag_7', 'Production_rolling_std_14', 'Factory_Issue_lag_7', 'Factory_Issue_rolling_max_14', 'Delivery_lag_7', 'Delivery_rolling_std_7', 'Delivery_rolling_mean_14', 'Delivery_rolling_std_14', 'Delivery_rolling_max_14']"
Sales_pct_change_7,41.036724455841274,18,18,36,"['Sales_lag_14', 'Production_rolling_mean_1', 'Production_rolling_min_1', 'Production_rolling_max_1', 'Delivery_rolling_mean_1', 'Delivery_rolling_min_1', 'Delivery_rolling_max_1', 'Sales_pct_change_1', 'Sales_momentum_7', 'Sales_momentum_14', 'delivery_sales_ratio', 'holiday_type_nan', 'holiday_name_nan', 'category_national_holiday', 'category_no_event', 'scope_or_location_Nationwide', 'scope_or_location_Tongi near Dhaka', 'scope_or_location_nan']","['Production_rolling_mean_1', 'Production_rolling_min_1', 'Production_rolling_max_1', 'Delivery_rolling_mean_1', 'Delivery_rolling_min_1', 'Delivery_rolling_max_1', 'Sales_pct_change_1', 'Sales_momentum_7', 'Sales_momentum_14', 'delivery_sales_ratio', 'holiday_type_nan', 'holiday_name_nan', 'category_national_holiday', 'category_no_event', 'scope_or_location_Nationwide', 'scope_or_location_Tongi near Dhaka', 'scope_or_location_nan', 'Sales']"
Delivery_rolling_std_14,-40.054288864190646,21,12,33,"['Factory_Issue', 'BDT_USD', 'Sales_rolling_mean_14', 'Sales_rolling_std_14', 'Sales_rolling_max_14', 'Sales_rolling_mean_30', 'Sales_rolling_std_30', 'Sales_rolling_max_30', 'Production_rolling_std_7', 'Production_rolling_std_14', 'Production_rolling_max_14', 'Factory_Issue_rolling_std_7', 'Factory_Issue_rolling_max_7', 'Factory_Issue_rolling_max_14', 'Delivery_rolling_std_7', 'Delivery_rolling_max_7', 'Delivery_rolling_min_14', 'Delivery_rolling_max_14', 'day_of_month_sin', 'week_of_year_sin', 'day_of_year_sin']","['Factory_Issue', 'Sales_rolling_mean_14', 'Sales_rolling_mean_30', 'Sales_rolling_std_30', 'Sales_rolling_max_30', 'Production_rolling_std_7', 'Production_rolling_std_14', 'Production_rolling_max_14', 'Factory_Issue_rolling_std_7', 'Factory_Issue_rolling_std_14', 'Delivery_rolling_max_7', 'Delivery_rolling_min_14']"
Delivery_rolling_min_7,-35.65435217975825,20,23,43,"['Production', 'Factory_Issue', 'Delivery', 'Temperature', 'BDT_USD', 'Sales_rolling_max_7', 'Production_lag_1', 'Production_rolling_mean_7', 'Production_rolling_max_7', 'Factory_Issue_lag_1', 'Factory_Issue_rolling_mean_7', 'Factory_Issue_rolling_min_7', 'Factory_Issue_rolling_min_14', 'Delivery_lag_1', 'day_of_month_cos', 'week_of_year_cos', 'month_sin', 'month_cos', 'quarter_sin', 'day_of_year_cos']","['Sales_rolling_mean_7', 'Sales_rolling_std_7', 'Sales_rolling_mean_14', 'Sales_rolling_std_14', 'Sales_rolling_max_14', 'Sales_rolling_mean_30', 'Sales_rolling_std_30', 'Sales_rolling_max_30', 'Production_lag_7', 'Production_rolling_min_7', 'Production_rolling_mean_14', 'Production_rolling_min_14', 'Production_rolling_max_14', 'Factory_Issue_lag_7', 'Factory_Issue_rolling_max_7', 'Factory_Issue_rolling_mean_14', 'Factory_Issue_rolling_max_14', 'Delivery_lag_7', 'Delivery_rolling_mean_7', 'Delivery_rolling_max_7', 'Delivery_rolling_mean_14', 'Delivery_rolling_min_14', 'Delivery_rolling_max_14']"
