,Date,Product,Sales,Production,Factory_Issue,Delivery,Group,Sub-Group,holiday_type,holiday_name,Station,Rainfall,Sunshine,Humidity,Temperature,category,scope_or_location,typical_rain_mm,BDT_USD
0,2023-01-01,AT5X5K,2642.0,1500,970.0,707.0,A,AT,,,Dhaka,0.0,4.0,81.0,17.9,school_university,Nationwide,7.7,
1,2023-01-02,AT5X5K,1070.0,1500,1720.0,2317.0,A,AT,,,Dhaka,0.0,5.5,71.0,19.1,no_event,,,104.7776
2,2023-01-03,AT5X5K,2355.0,2000,2964.0,2215.6,A,AT,,,Dhaka,0.0,0.0,87.0,16.2,no_event,,,101.699
3,2023-01-04,AT5X5K,909.8,2000,2265.0,2439.0,A,AT,,,Dhaka,0.0,0.0,91.0,14.8,no_event,,,101.9814
4,2023-01-05,AT5X5K,3504.0,2000,1100.0,735.8,A,AT,,,Dhaka,0.0,1.3,86.0,15.2,no_event,,,102.0143
5,2023-01-06,AT5X5K,0.0,1000,1437.0,1147.0,A,AT,,,Dhaka,0.0,0.8,89.0,14.5,no_event,,,102.1778
6,2023-01-07,AT5X5K,10.0,1500,1672.0,1667.0,A,AT,,,Dhaka,0.0,0.0,93.0,13.3,no_event,,,
7,2023-01-08,AT5X5K,3322.0,1500,1009.0,1225.0,A,AT,,,Dhaka,0.0,2.6,88.0,16.0,no_event,,,
8,2023-01-09,AT5X5K,2254.0,1500,3129.0,3501.94,A,AT,,,Dhaka,0.0,5.7,70.0,19.8,no_event,,,102.9932
9,2023-01-10,AT5X5K,2414.0,2000,1200.0,1559.0,A,AT,,,Dhaka,0.0,6.0,59.0,21.0,no_event,,,103.4277
10,2023-01-11,AT5X5K,1453.0,2000,2905.0,2590.0,A,AT,,,Dhaka,0.0,5.8,54.0,18.8,no_event,,,102.6598
11,2023-01-12,AT5X5K,2020.0,2000,2026.0,1824.0,A,AT,,,Dhaka,0.0,4.4,71.0,16.3,no_event,,,102.5146
12,2023-01-13,AT5X5K,0.0,2000,880.0,538.0,A,AT,,,Dhaka,0.0,4.3,70.0,18.5,cultural_event,Tongi near Dhaka,7.7,102.5327
13,2023-01-14,AT5X5K,338.6,1500,1040.0,1218.0,A,AT,,,Dhaka,0.0,0.0,85.0,20.2,no_event,,,102.1802
14,2023-01-15,AT5X5K,2632.0,1000,1110.0,901.0,A,AT,,,Dhaka,0.0,5.2,65.0,20.8,no_event,,,
15,2023-01-16,AT5X5K,2303.0,700,2600.0,2454.0,A,AT,,,Dhaka,0.0,3.3,60.0,19.3,no_event,,,102.3013
16,2023-01-17,AT5X5K,1746.0,1000,1786.0,1990.0,A,AT,,,Dhaka,0.0,4.0,58.0,18.7,no_event,,,102.278
17,2023-01-18,AT5X5K,1697.0,2000,1775.0,2063.6,A,AT,,,Dhaka,0.0,3.9,63.0,17.9,no_event,,,104.7728
18,2023-01-19,AT5X5K,1457.0,2500,1900.0,1751.0,A,AT,,,Dhaka,0.0,5.7,59.0,18.2,no_event,,,102.1467
19,2023-01-20,AT5X5K,0.0,3000,990.0,715.0,A,AT,,,Dhaka,0.0,4.4,65.0,18.9,cultural_event,Tongi near Dhaka,7.7,103.9747
20,2023-01-21,AT5X5K,507.0,500,1239.0,1231.0,A,AT,,,Dhaka,0.0,4.4,66.0,18.7,no_event,,,
21,2023-01-22,AT5X5K,1161.0,500,705.0,770.0,A,AT,,,Dhaka,0.0,5.7,67.0,20.0,no_event,,,
22,2023-01-23,AT5X5K,1120.0,500,530.0,847.4,A,AT,,,Dhaka,0.0,3.1,70.0,20.9,no_event,,,104.5274
23,2023-01-24,AT5X5K,864.0,500,820.0,965.0,A,AT,,,Dhaka,0.0,4.5,69.0,21.3,no_event,,,104.9484
24,2023-01-25,AT5X5K,247.0,2000,1210.0,839.0,A,AT,,,Dhaka,0.0,4.4,73.0,21.7,no_event,,,102.2067
25,2023-01-26,AT5X5K,1211.0,0,595.0,334.0,A,AT,,,Dhaka,0.0,0.0,75.0,22.3,no_event,,,104.4405
26,2023-01-27,AT5X5K,0.0,0,1080.0,837.0,A,AT,,,Dhaka,0.0,4.6,68.0,23.0,no_event,,,104.3718
27,2023-01-28,AT5X5K,15.0,0,455.0,424.0,A,AT,,,Dhaka,0.0,5.9,72.0,22.4,no_event,,,104.3967
28,2023-01-29,AT5X5K,2444.0,1500,710.0,1132.0,A,AT,,,Dhaka,0.0,4.3,78.0,19.7,no_event,,,
29,2023-01-30,AT5X5K,569.0,1200,1420.0,1406.0,A,AT,,,Dhaka,0.0,5.7,75.0,21.4,no_event,,,104.4221
30,2023-01-31,AT5X5K,2101.0,1200,990.0,767.0,A,AT,,,Dhaka,0.0,4.4,63.0,24.1,no_event,,,105.084
