iter	RMSE
0	68881.08667
1	65831.1566
2	63219.61174
3	60468.31743
4	57996.54895
5	55455.44516
6	53258.23432
7	50931.12402
8	48789.80541
9	46908.95853
10	45121.9173
11	43238.33634
12	41677.47838
13	40040.44567
14	38570.66894
15	37286.04864
16	35747.22537
17	34425.31095
18	33282.77128
19	32019.80511
20	30959.90743
21	29853.89421
22	28831.05985
23	27770.95107
24	26850.52897
25	25969.57231
26	25159.78183
27	24329.6977
28	23615.93198
29	22859.14944
30	22205.66321
31	21598.28066
32	20987.70758
33	20404.05076
34	19884.08844
35	19388.44504
36	18905.411
37	18410.89231
38	18027.20822
39	17660.17221
40	17280.22911
41	16919.6688
42	16579.30833
43	16176.89615
44	15883.65757
45	15627.60609
46	15370.32049
47	15086.48463
48	14853.45637
49	14570.16206
50	14352.79142
51	14090.39499
52	13885.80013
53	13702.00295
54	13518.98892
55	13309.48429
56	13106.89137
57	12963.65788
58	12819.22591
59	12631.31338
60	12478.06508
61	12303.36002
62	12164.64181
63	12038.65925
64	11953.61959
65	11834.88163
66	11710.61395
67	11579.1578
68	11439.80875
69	11320.4979
70	11202.38947
71	11101.5849
72	10979.05949
73	10852.6131
74	10774.14055
75	10708.05682
76	10628.10035
77	10515.159
78	10413.09942
79	10344.89706
80	10269.99426
81	10146.5557
82	10106.21528
83	10016.63261
84	9934.835621
85	9870.079861
86	9790.805732
87	9747.171497
88	9673.490066
89	9616.105509
90	9567.194813
91	9510.013227
92	9474.730844
93	9382.571531
94	9344.733797
95	9278.580059
96	9205.956057
97	9134.721643
98	9105.825638
99	9046.116083
100	9011.503068
101	8944.76427
102	8899.542951
103	8850.861451
104	8821.254845
105	8763.455518
106	8728.767877
107	8691.932733
108	8637.615666
109	8596.656859
110	8550.098092
111	8519.811552
112	8476.053272
113	8442.228824
114	8406.122012
115	8369.296071
116	8324.391009
117	8301.137859
118	8248.291336
119	8198.398295
120	8156.646495
121	8129.996245
122	8093.745336
123	8051.52808
124	8030.813112
125	7997.922918
126	7925.261054
127	7902.417297
128	7876.719827
129	7860.57905
130	7840.027938
131	7812.494606
132	7778.158722
133	7758.226142
134	7717.14481
135	7703.127007
136	7666.026892
137	7623.417132
138	7595.914266
139	7559.936322
140	7521.588632
141	7503.129949
142	7454.908526
143	7445.067523
144	7383.142887
145	7359.882116
146	7324.813797
147	7286.550423
148	7261.962506
149	7218.28295
150	7181.265195
151	7143.877213
152	7113.509127
153	7090.021895
154	7068.548188
155	7053.535098
156	7032.081863
157	7004.553796
158	6978.837826
159	6939.999889
160	6908.291697
161	6865.563232
162	6851.491771
163	6793.409393
164	6761.526171
165	6749.625002
166	6719.310707
167	6695.954312
168	6666.817545
169	6649.821099
170	6635.144807
171	6589.605713
172	6574.282331
173	6541.601968
174	6521.314866
175	6507.141379
176	6477.108214
177	6433.412691
178	6408.847002
179	6362.967801
180	6349.322695
181	6304.706432
182	6286.518818
183	6263.251524
184	6214.445868
185	6198.054732
186	6166.445648
187	6153.88116
188	6132.876911
189	6086.842761
190	6065.415121
191	6010.14317
192	5989.634768
193	5970.085075
194	5924.557365
195	5907.245399
196	5858.445864
197	5828.402107
198	5798.368627
199	5782.383715
200	5759.59472
201	5740.100893
202	5703.015427
203	5684.12946
204	5639.331675
205	5623.349876
206	5601.348663
207	5577.426162
208	5547.449694
209	5519.001605
210	5486.762367
211	5476.99053
212	5466.505931
213	5454.51763
214	5440.266651
215	5422.650015
216	5409.200341
217	5386.078265
218	5362.807116
219	5352.843268
220	5343.038013
221	5320.067795
222	5300.278119
223	5282.608742
224	5269.367787
225	5249.751055
226	5223.247615
227	5199.006395
228	5172.278603
229	5160.222455
230	5146.706856
231	5117.830724
232	5101.336034
233	5070.615211
234	5040.886075
235	5023.983054
236	4992.841703
237	4970.70984
238	4956.148851
239	4931.097189
240	4906.500322
241	4885.098604
242	4861.203388
243	4854.171528
244	4845.202464
245	4836.117029
246	4817.567829
247	4805.453914
248	4786.660078
249	4760.818427
250	4742.978374
251	4731.534151
252	4720.33056
253	4708.297981
254	4688.696341
255	4677.020262
256	4661.44389
257	4652.265285
258	4620.500446
259	4582.048037
260	4569.443826
261	4541.253222
262	4529.897711
263	4519.681848
264	4493.418004
265	4469.958237
266	4459.049298
267	4446.906384
268	4424.422802
269	4409.033502
270	4394.701927
271	4385.15738
272	4366.017905
273	4354.651552
274	4342.028541
275	4326.474773
276	4309.931002
277	4298.615984
278	4284.5343
279	4271.67308
280	4259.90272
281	4245.468259
282	4226.58112
283	4215.795148
284	4204.344041
285	4192.226415
286	4181.418377
287	4173.487551
288	4151.852423
289	4133.438789
