iter	Passed	Remaining
0	4	2327
1	8	2178
2	16	2663
3	20	2531
4	27	2760
5	32	2659
6	39	2761
7	44	2719
8	51	2790
9	54	2694
10	61	2713
11	66	2714
12	70	2639
13	76	2657
14	81	2651
15	85	2592
16	91	2599
17	95	2550
18	101	2575
19	107	2575
20	110	2531
21	117	2546
22	121	2510
23	127	2525
24	132	2525
25	138	2520
26	142	2498
27	149	2514
28	153	2488
29	159	2496
30	163	2469
31	169	2476
32	173	2458
33	180	2480
34	185	2468
35	194	2500
36	200	2511
37	207	2525
38	212	2515
39	220	2536
40	227	2547
41	232	2533
42	239	2549
43	246	2551
44	251	2540
45	258	2552
46	265	2560
47	270	2550
48	278	2559
49	284	2558
50	289	2550
51	297	2559
52	301	2543
53	308	2546
54	315	2548
55	320	2538
56	327	2548
57	332	2536
58	339	2534
59	345	2530
60	350	2523
61	354	2507
62	361	2505
63	365	2489
64	371	2483
65	374	2465
66	380	2460
67	385	2446
68	390	2441
69	396	2432
70	401	2427
71	405	2412
72	412	2410
73	416	2396
74	422	2392
75	426	2377
76	432	2373
77	437	2366
78	441	2350
79	446	2345
80	451	2337
81	455	2322
82	461	2318
83	465	2305
84	472	2304
85	477	2298
86	483	2292
87	486	2279
88	492	2276
89	496	2263
90	502	2259
91	506	2246
92	512	2241
93	516	2229
94	522	2226
95	527	2219
96	531	2208
97	537	2205
98	541	2194
99	548	2192
100	553	2186
101	557	2174
102	563	2171
103	566	2158
104	572	2154
105	576	2143
106	582	2140
107	586	2128
108	592	2124
109	596	2114
110	601	2109
111	605	2098
112	611	2095
113	617	2089
114	621	2079
115	626	2075
116	631	2066
117	637	2062
118	640	2051
119	646	2047
120	650	2037
121	656	2033
122	661	2028
123	667	2022
124	672	2016
125	676	2008
126	682	2005
127	686	1995
128	693	1993
129	696	1982
130	702	1979
131	706	1970
132	713	1967
133	718	1962
134	724	1957
135	728	1948
136	734	1946
137	738	1938
138	745	1935
139	749	1926
140	755	1924
141	761	1918
142	765	1909
143	771	1907
144	775	1899
145	781	1896
146	787	1891
147	793	1887
148	798	1880
149	804	1876
150	808	1869
151	814	1865
152	820	1860
153	824	1851
154	830	1847
155	833	1838
156	839	1834
157	844	1828
158	848	1819
159	854	1814
160	858	1806
161	863	1802
162	867	1793
163	873	1790
164	879	1784
165	882	1776
166	888	1772
167	894	1767
168	899	1761
169	903	1753
170	909	1749
171	912	1740
172	918	1736
173	923	1730
174	929	1725
175	934	1720
176	939	1713
177	945	1709
178	949	1702
179	955	1698
180	959	1691
181	965	1686
182	969	1678
183	974	1674
184	978	1666
185	984	1662
186	989	1655
187	995	1651
188	1000	1646
189	1004	1639
190	1010	1635
191	1014	1627
192	1020	1623
193	1025	1618
194	1031	1613
195	1035	1606
196	1041	1601
197	1045	1594
198	1051	1590
199	1057	1585
200	1061	1578
201	1067	1574
202	1071	1567
203	1077	1563
204	1083	1558
205	1087	1551
206	1092	1547
207	1098	1541
208	1102	1535
209	1108	1530
210	1113	1525
211	1118	1520
212	1124	1515
213	1128	1508
214	1135	1504
215	1139	1497
216	1145	1493
217	1149	1487
218	1155	1483
219	1159	1476
220	1166	1472
221	1171	1467
222	1175	1460
223	1182	1457
224	1186	1450
225	1193	1446
226	1197	1440
227	1204	1436
228	1208	1430
229	1214	1426
230	1219	1419
231	1225	1415
232	1231	1410
233	1235	1404
234	1242	1400
235	1246	1394
236	1253	1390
237	1258	1385
238	1264	1380
239	1268	1374
240	1275	1370
241	1279	1364
242	1286	1360
243	1290	1353
244	1296	1349
245	1300	1342
246	1306	1338
247	1312	1333
248	1316	1327
249	1322	1322
250	1328	1317
251	1334	1312
252	1338	1306
253	1355	1312
254	1364	1310
255	1373	1308
256	1382	1306
257	1388	1302
258	1398	1301
